ticker,Расширение,Ложный пробой,Колено,2xEXTR,Не на уровне,От плотности,Контр тренд,Треугольник,50%,Datetime,PNL,filenames
ETH,0,0,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_69324887e0f247761a801498d1483604.png', 'ETH_3_6effe877c505a4dc3b9abdea98cc6ae1.png']"
ETH,1,0,-1,-1,0,1,0,0,1,-1,NA,"['ETH_15_182f5f9a60e33d2d1d6082db2443ca29.png', 'ETH_3_8f30c7479c4262cfb3e6056592f4a682.png']"
ETH,1,0,-1,-1,0,0,0,0,1,-1,NA,"['ETH_15_02290aeb47668f4aea9db87ef7532063.png', 'ETH_3_d02aaf06b77f3c802145b01941888ab5.png']"
ETH,1,0,-1,-1,1,0,1,1,0,-1,NA,"['ETH_15_7a583b70b20c793533e0abf064c1e02a.png', 'ETH_3_bcb2225a33a8b6d7b08696b23f145b85.png']"
ETH,0,1,-1,-1,0,0,1,0,1,-1,NA,"['ETH_15_027ce88e537174c24292f6d1fe8112f0.png', 'ETH_3_bc70621554193a93208ddd43bcdbc308.png']"
ETH,0,0,-1,-1,0,1,1,0,1,-1,NA,"['ETH_15_0efeea081163e6e8ce879cf29fd04f7a.png', 'ETH_3_21df41db9e7e29067f39b098be69e29a.png']"
ETH,0,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_6e83a049e15802eadf0d140f0b72bbb5.png', 'ETH_3_6a6177bdc792f22b34f4b52bd45920cf.png']"
ETH,0,1,-1,-1,1,0,1,0,0,-1,NA,"['ETH_15_70204af49df7c45b301b0d67449822ec.png', 'ETH_3_417f21b53118873df9a3ae630fcf963d.png']"
ETH,0,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_20e2cddf976c5f540b24fcea7f6af1c3.png', 'ETH_3_0f67325a7bf2da46e0e83eb353216b14.png']"
ETH,1,0,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_a7bb788a801a03c7e0cbf6525e3c1933.png', 'ETH_3_0eedbf077b1f7c1d5519dec118475fa3.png']"
ETH,0,0,-1,-1,0,1,0,1,0,-1,NA,"['ETH_15_0e6bfbdcfa289f346adfbe24344221ee.png', 'ETH_3_af7f7ba14c1801918245d3e1e732c6e2.png']"
ETH,1,0,-1,-1,0,1,1,0,1,-1,NA,"['ETH_15_a7886a9c5c4f169b2c815493d7f31bba.png', 'ETH_3_821a7c0070ce3f21d3c6cc652dd048cb.png']"
ETH,0,0,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_8cb903e82f08e7fd930653b7742e25be.png', 'ETH_3_07b9ad43b329e3185a9c868dfddbcbf7.png']"
ETH,0,1,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_cee30cf9a4bdf98f736a21798ba02adf.png', 'ETH_3_a22ef36256fd6f5589aea7f27d7b9a62.png']"
ETH,1,0,-1,-1,0,0,0,0,1,-1,NA,"['ETH_15_56636208c973b2b9e2c1722a70b1aebc.png', 'ETH_3_14634dcf9ca4a441b871ff5fbf3bd910.png']"
ETH,0,0,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_1c074d564aa953dd5ae264e8ec008759.png', 'ETH_3_61c5f672e1dabbc66475cc802f385a38.png']"
ETH,1,0,-1,-1,0,0,0,0,0,-1,NA,"['ETH_15_99ca2d2001178251f128bb99ade8de9c.png', 'ETH_3_980d99385206c2517a06148748bdaa1d.png']"
ETH,0,0,-1,-1,0,0,0,0,1,-1,NA,"['ETH_15_d69e65cac5104d857f3a7e5cd99c7dc4.png', 'ETH_3_5f8882488238d159420eb6e780bd64a6.png']"
ETH,0,0,-1,-1,0,0,0,1,1,-1,NA,"['ETH_15_40708a3440507c3aa0db9db3c9512f7e.png', 'ETH_3_0dbe83597cd68271de222a79fd8175a4.png']"
ETH,0,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_9e95ca09da6d6044c8a9251919d0a311.png', 'ETH_3_60264453e4b933ef392f79e418009885.png']"
ETH,0,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_f31697adea38f7dc829c672e9fc671cc.png', 'ETH_3_42cf05d86ad4fcbc85698a429d80062c.png']"
ETH,0,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_d660087f6ab3279813934907dc00e5c1.png', 'ETH_3_2f8b64a0a25fcde026bd81540473f9d7.png']"
ETH,1,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_58e32e25bc31b6cb67c473e13ba8251e.png', 'ETH_3_f355cf376fcf369d8db31426a43c0904.png']"
ETH,1,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_19b59d938721b26f9418a01b26d3b197.png', 'ETH_3_ce1d695656163a2731adaac6e49e9b85.png']"
ETH,0,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_65421b59e15b3f8e2e022ccb9d25ecc6.png', 'ETH_3_20f54a5820b75c0eda6b58f58cda367d.png']"
ETH,1,0,-1,-1,0,0,1,0,1,-1,NA,"['ETH_15_c16b8e6519870555b1bb74fb9a980976.png', 'ETH_3_89d54f10d9d03d135fd740a143a89a8c.png']"
ETH,1,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_afee677739c0dfa44ef92164fe9adedd.png', 'ETH_3_2e8fc8921eb0a87a18ea25601ab2b578.png']"
ETH,1,0,-1,-1,0,1,1,0,1,-1,NA,"['ETH_15_38179164d55bb344ff32dc30c76ac581.png', 'ETH_3_82221cc0930069234fc538458ae2675d.png']"
ETH,0,0,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_b4291cceaa089d6f9bc0b8c63fe2b592.png', 'ETH_3_3ae82f03963ff3e59c8306b5b6c30dd5.png']"
ETH,0,0,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_07efdc7ad019f81588e813bb5453867f.png', 'ETH_3_d00d31827d1b100ec85cfbdf3d5621e0.png']"
ETH,0,0,-1,-1,1,0,1,0,0,-1,NA,"['ETH_15_75e6e864942434989c04a02a14facaf7.png', 'ETH_3_67746373a28e9d2e434a467c2f1a78c2.png']"
ETH,0,0,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_b7ee5966dba0430f0ca8fe9b4f199875.png', 'ETH_3_6c4052aa9e0d17ef382a6a3013f424cb.png']"
ETH,1,1,-1,-1,0,0,0,0,0,-1,NA,"['ETH_15_40534b237dfe152ae2d7a89f296228bc.png', 'ETH_3_0fc45788b8b757a7fdf4c645bfca1000.png']"
ETH,1,0,-1,-1,0,1,0,0,1,-1,NA,"['ETH_15_d23e9f9f225ec42324ee900ef791aead.png', 'ETH_3_0b4f09794fc6095e2a3579bbdf0338ac.png']"
ETH,1,0,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_056f76a4e18867b4ab5ddecc908f6df9.png', 'ETH_3_dbe51ac0203895f7209ba1ba5e3a2396.png']"
ETH,0,0,-1,-1,1,0,1,0,0,-1,NA,"['ETH_15_fed6ccab68cb407b060d2935fcfaa024.png', 'ETH_3_fbf8a2dad6b3bf3573ba975c137d8e93.png']"
ETH,1,0,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_0372324109a39ef4a2e0fa2000fa18b7.png', 'ETH_3_51cde8db7f95a91562a33a15d5792af3.png']"
ETH,0,0,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_c7c5aed79bddbded637b2569bfa6080c.png', 'ETH_3_bd0b8aa76629efa99685bb8c12e70443.png']"
ETH,1,0,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_3084404950c8a26b854856414f3800a4.png', 'ETH_3_3a377c0aaf1cee9de124f483195548c6.png']"
ETH,0,0,-1,-1,0,1,0,1,0,-1,NA,"['ETH_15_14f5b490a5cf98ceeca4351badfd1fd2.png', 'ETH_3_7eecca1578da55c9b8e308cee2802651.png']"
ETH,0,0,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_e07a05199a69a55ceff17279d48093a6.png', 'ETH_3_753fcf58a58b33b989e0e4078ad39e67.png']"
ETH,0,0,-1,-1,1,1,1,0,0,-1,NA,"['ETH_15_ad24c3713e4d8d09081237dcec875cb9.png', 'ETH_3_e9d16fbf244e454b705116f41466ce60.png']"
ETH,1,0,-1,-1,0,0,0,0,1,-1,NA,"['ETH_15_fa90834b8c61831c5f0031f548c28c03.png', 'ETH_3_c0ad116cbfaa93505b7a9ec0b3f16433.png']"
ETH,0,0,-1,-1,0,1,0,1,0,-1,NA,"['ETH_15_024c7a1353de3339a91f12b2a32031fe.png', 'ETH_3_072bb1d0da8f5cab0ce963e9269c3c3c.png']"
ETH,1,0,-1,-1,0,0,1,0,1,-1,NA,"['ETH_15_2d282865a74dbf1dc2725ee2960b3cae.png', 'ETH_3_132c71009e4359767e615809048a1f1a.png']"
ETH,1,0,-1,-1,0,0,1,1,0,-1,NA,"['ETH_15_63faa8f09215a5769da9ed7bd7cc366f.png', 'ETH_3_2bade1361db8e534c73d080a5b247f3a.png']"
ETH,0,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_8dff40077ea568c13373a7c395f728c8.png', 'ETH_3_8c2d9771267b9bee010157cd87677230.png']"
ETH,0,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_5738847d75dd88fb5cb25d6830dd8bdc.png', 'ETH_3_a35e560d991e715bbb820ad5245de866.png']"
